2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175657_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175652_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175653_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175658_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175659_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,096 INFO  [AttributeConverterImpl] 540_29175660_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175660_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175654_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29174987_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175313_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175121_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,104 INFO  [AttributeConverterImpl] 540_29175121_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175506_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175505_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175364_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175364_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175650_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175649_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175648_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175594_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175595_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175596_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175392_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175391_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175390_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175498_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175497_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175360_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175358_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175618_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175620_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175684_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175683_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175501_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175501_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175496_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175496_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175495_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175495_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175495_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175692_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175692_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:30,106 INFO  [AttributeConverterImpl] 540_29175694_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
