2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142396_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142397_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142397_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142397_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142398_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142398_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142398_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142399_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142399_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142399_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29143422_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29143423_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29143424_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29143425_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29143425_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconLateral:beaconShape=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29142367_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141847_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141847_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141847_1 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141847_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141879_1 : Removing a non-mandatory empty numeric value MarineFarmCulture:valueOfSounding=
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141876_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141875_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,930 INFO  [AttributeConverterImpl] 540_29141874_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29140979_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141900_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141900_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141899_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141899_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29140976_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29140974_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29140969_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141909_1 : Attribute type CATOBS has been removed from the S101 feature type FoulGround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141909_1 : Removing a non-mandatory empty numeric value FoulGround:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141910_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29143953_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29143955_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141129_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:28,946 INFO  [AttributeConverterImpl] 540_29141130_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
