2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166754_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166755_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166756_1 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:29,943 WARN  [AttributeConverterImpl] Valeur S57 [directional function (1)] non convertie(s) pour categoryOfLight de LightSectored 540_29166419_1
2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166419_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166417_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166418_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166475_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:29,943 INFO  [AttributeConverterImpl] 540_29166733_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166733_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166771_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166771_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166813_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166813_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166813_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166814_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166814_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166814_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166815_1 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:29,951 INFO  [AttributeConverterImpl] 540_29166815_1 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
