2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135132767_687 : Attribute type COLOUR has been removed from the S101 feature type BeaconSpecialPurposeGeneral
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135132767_687 : Cartographic intervention, the mandatory numeric S101 value has an empty value BeaconSpecialPurposeGeneral:beaconShape=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148474_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148489_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148517_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148650_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_584953155_1567 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_584953155_1567 : Attribute type COLOUR has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_584960496_1567 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_584960496_1567 : Attribute type COLOUR has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148242_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148256_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148416_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148504_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148534_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148546_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153653_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153670_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153690_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153712_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135147982_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153734_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153755_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153776_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153796_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148001_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153815_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153835_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153860_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153881_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148021_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153901_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153916_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135153929_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] 540_2135148040_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,114 INFO  [AttributeConverterImpl] Coastline :  Attribute CATCOA with values [4] change to attribute type natureOfSurface with value [5]
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148431_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148445_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148459_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135147543_687 : Removing a non-mandatory empty numeric value Gate:horizontalClearanceValue=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135147561_687 : Removing a non-mandatory empty numeric value Gate:horizontalClearanceValue=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135151700_687 : Attribute type COLPAT has been removed from the S101 feature type Landmark
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148092_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148105_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148118_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148131_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148144_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148157_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 WARN  [AttributeConverterImpl] Valeur S57 [directional radiobeacon (2)] non convertie(s) pour categoryOfRadioStation de RadioStation 540_2135155399_687
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135155399_687 : Attribute type CATROS has been removed from the S101 feature type RadioStation
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135155399_687 : Attribute type ORIENT has been removed from the S101 feature type RadioStation
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148177_687 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148194_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148211_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148228_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148271_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148289_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148308_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148328_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148342_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148359_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148375_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148399_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148564_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 WARN  [AttributeConverterImpl] Valeur S57 [directional function (1)] non convertie(s) pour categoryOfLight de LightSectored 540_2135148579_687
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148579_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 WARN  [AttributeConverterImpl] Valeur S57 [directional function (1)] non convertie(s) pour categoryOfLight de LightSectored 540_2135148594_687
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148594_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 WARN  [AttributeConverterImpl] Valeur S57 [directional function (1)] non convertie(s) pour categoryOfLight de LightSectored 540_2135148607_687
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148607_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148607_687 : Removing a non-mandatory empty numeric value LightSectored:signalPeriod=
2023-07-03 12:33:31,130 WARN  [AttributeConverterImpl] Valeur S57 [directional function (1)] non convertie(s) pour categoryOfLight de LightSectored 540_2135148621_687
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148621_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148621_687 : Removing a non-mandatory empty numeric value LightSectored:signalPeriod=
2023-07-03 12:33:31,130 WARN  [AttributeConverterImpl] Valeur S57 [directional function (1)] non convertie(s) pour categoryOfLight de LightSectored 540_2135148634_687
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148634_687 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148752_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148771_687 : Attribute type CATLIT has been removed from the S101 feature type LightFogDetector
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148791_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135148846_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135149332_687 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_585001515_1469 : Cartographic intervention, the mandatory numeric S101 value has an empty value LandElevation:elevation=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135153943_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135153956_687 : Attribute type CATOBS has been removed from the S101 feature type FoulGround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135153956_687 : Removing a non-mandatory empty numeric value FoulGround:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135153972_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135154125_687 : Attribute type CATOBS has been removed from the S101 feature type FoulGround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135154125_687 : Removing a non-mandatory empty numeric value FoulGround:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135154160_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135154178_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135154195_687 : Removing a non-mandatory empty numeric value Obstruction:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135154216_687 : Attribute type CATOBS has been removed from the S101 feature type FoulGround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135154216_687 : Removing a non-mandatory empty numeric value FoulGround:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_583365785_1579 : Attribute type CATOBS has been removed from the S101 feature type FoulGround
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_583365785_1579 : Removing a non-mandatory empty numeric value FoulGround:valueOfSounding=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135155485_687 : Cartographic intervention, the mandatory numeric S101 value has an empty value RecommendedTrack:orientationValue=
2023-07-03 12:33:31,130 INFO  [AttributeConverterImpl] 540_2135155512_687 : Cartographic intervention, the mandatory numeric S101 value has an empty value RecommendedTrack:orientationValue=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171924_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171924_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171924_687 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171948_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171948_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171948_687 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171968_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171968_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135171968_687 : Cartographic intervention, the mandatory numeric S101 value has an empty value UnderwaterAwashRock:valueOfSounding=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172005_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172005_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172019_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172019_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172042_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172042_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172057_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172057_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172070_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172070_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172089_687 : Setting attribute value as empty for an unexisting s101 attribute value UnderwaterAwashRock:natureOfSurface=9
2023-07-03 12:33:31,146 INFO  [AttributeConverterImpl] 540_2135172089_687 : Removing a non-mandatory empty numeric value UnderwaterAwashRock:natureOfSurface=
