2023-10-20 06:50:23,607 INFO  [AttributeConverterImpl] 540_29175600_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,607 INFO  [AttributeConverterImpl] 540_29175600_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,607 INFO  [AttributeConverterImpl] 540_29175601_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,607 INFO  [AttributeConverterImpl] 540_29175601_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,607 INFO  [AttributeConverterImpl] 540_29175601_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,608 INFO  [AttributeConverterImpl] 540_29175602_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconLateral
2023-10-20 06:50:23,608 INFO  [AttributeConverterImpl] 540_29175657_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,608 INFO  [AttributeConverterImpl] 540_29175657_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,608 INFO  [AttributeConverterImpl] 540_29175657_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,609 INFO  [AttributeConverterImpl] 540_29175652_1 : Attribute type CATLIT has been removed from the S101 feature type LightAllAround
2023-10-20 06:50:23,609 INFO  [AttributeConverterImpl] 540_29175653_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-10-20 06:50:23,609 INFO  [AttributeConverterImpl] 540_29175658_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,609 INFO  [AttributeConverterImpl] 540_29175658_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,609 INFO  [AttributeConverterImpl] 540_29175658_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,610 INFO  [AttributeConverterImpl] 540_29175659_1 : Attribute type CATLIT has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,610 INFO  [AttributeConverterImpl] 540_29175659_1 : Attribute type SECTR1 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,610 INFO  [AttributeConverterImpl] 540_29175659_1 : Attribute type SECTR2 has been removed from the S101 feature type LightSectored
2023-10-20 06:50:23,610 INFO  [AttributeConverterImpl] 540_29175660_1 : Attribute type BCNSHP has been removed from the S101 feature type BeaconLateral
2023-10-20 06:50:23,610 INFO  [AttributeConverterImpl] 540_29175654_1 : Attribute type CATLIT has been removed from the S101 feature type LightAirObstruction
2023-10-20 06:50:23,610 INFO  [AttributeConverterImpl] 540_29174987_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,612 INFO  [AttributeConverterImpl] 540_29175313_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,612 INFO  [AttributeConverterImpl] 540_29175121_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
2023-10-20 06:50:23,612 INFO  [AttributeConverterImpl] 540_29175121_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value SpanFixed:verticalClearanceValue=
2023-10-20 06:50:23,613 INFO  [AttributeConverterImpl] 540_29175506_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,613 INFO  [AttributeConverterImpl] 540_29175505_1 : Attribute type VALSOU has been removed from the S101 feature type Obstruction
2023-10-20 06:50:23,615 INFO  [AttributeConverterImpl] 540_29175364_1 : Attribute type CATBRG has been removed from the S101 feature type SpanFixed
