2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187541_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187559_1 : Attribute type CATLMK has been removed from the S101 feature type Landmark
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187559_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187720_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187719_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187718_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187717_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187716_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187715_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187714_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187713_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187712_1 : Attribute type CATLMK has been removed from the S101 feature type WindTurbine
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187712_1 : Removing a non-mandatory empty numeric value WindTurbine:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187711_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187721_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187722_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Landmark:visualProminence=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187736_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:speedMaximum=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187735_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:speedMaximum=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187734_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:speedMaximum=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187734_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:orientationValue=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187734_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:categoryOfTidalStream=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187725_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:speedMaximum=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187725_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:orientationValue=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187725_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:categoryOfTidalStream=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187648_1 : Attribute type CATOBS has been removed from the S101 feature type FoulGround
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187616_1 : Attribute type CATOBS has been removed from the S101 feature type FoulGround
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187583_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value Wreck:waterLevelEffect=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187749_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:speedMaximum=
2023-07-03 12:33:31,483 INFO  [AttributeConverterImpl] 540_29187750_1 : Cartographic intervention, the mandatory numeric S101 value has an empty value TidalStreamFloodEbb:speedMaximum=
2023-07-03 12:33:31,491 WARN  [ECDISPortrayalAttributeSetterImpl] Attention no Depth areas Dredged Areas 540_29187681_1
2023-07-03 12:33:31,491 WARN  [ECDISPortrayalAttributeSetterImpl] Attention no Depth areas Dredged Areas 540_29187548_1
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type T_TIMS
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type T_NHMN
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type T_HMON
2023-07-03 12:33:31,491 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type T_TIMS
