2023-07-03 12:33:31,766 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_1575885715_284 to BeaconLateral Object 540_-290623166_285
2023-07-03 12:33:31,766 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_1331638072_360 to BuoySpecialPurposeGeneral Object 540_-548738524_361
2023-07-03 12:33:31,766 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_-517134152_362 to BuoySpecialPurposeGeneral Object 540_-1109114829_363
2023-07-03 12:33:31,766 INFO  [FeaturesFinalizer] Adding feature TOPMAR 540_-2009024594_382 to BeaconLateral Object 540_-242785175_383
2023-07-03 12:33:31,774 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type ICNARE
2023-07-03 12:33:31,774 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_PRH
2023-07-03 12:33:31,774 WARN  [S57ToS101Converter] No S101 feature type for the S57 feature type TS_PNH
2023-07-03 12:33:31,774 INFO  [S57ToS101] Writing 101AA004X0001.000 to ./data-references/dataConverted/s164/Conversion-1.1.5/3.3 Settings/S100_ROOT/S-101/DATASET_FILES
2023-07-03 12:33:31,786 INFO  [S57ToS101Converter] Copy pointed file GB038_36.TXT to 101AA00038_36.TXT
2023-07-03 12:33:31,786 INFO  [S57ToS101Converter] Copy pointed file GBBOVSTA.TXT to 101AA00BOVSTA.TXT
2023-07-03 12:33:31,786 INFO  [S57ToS101Converter] Copy pointed file GB0182AE.TIF to 101AA000182AE.TIF
2023-07-03 12:33:31,786 INFO  [S57ToS101Converter] Copy pointed file GBA11981.TXT to 101AA00A11981.TXT
2023-07-03 12:33:31,786 INFO  [S57ToS101Converter] Copy pointed file GB11981A.TXT to 101AA0011981A.TXT
2023-07-03 12:33:31,804 INFO  [CheckS101] * Checking dataSet '101AA004X0001'...
2023-07-03 12:33:31,804 INFO  [CheckS101] ** Checking dataSet '101AA004X0001' consistency to the dictionary...
2023-07-03 12:33:31,804 INFO  [CheckS101] ** End of dataSet '101AA004X0001' consistency to the dictionary check
2023-07-03 12:33:31,804 INFO  [CheckS101] ** Checking dataSet '101AA004X0001' group 1...
2023-07-03 12:33:31,804 INFO  [CheckS101] *** '101AA004X0001.000' group 1 OK
2023-07-03 12:33:31,804 INFO  [CheckS101] ** End of dataSet '101AA004X0001' group 1 check
2023-07-03 12:33:31,804 INFO  [CheckS101] * End of dataSet '101AA004X0001' check
